Ratios,2021,2020,2019,2018,2017
EPS,35.17,30.88,25.52,21.54,18.57
CASA,60.44,56.16,52.49,50.75,43.99
P/E,34.69,28.97,35.32,32.04,32.44
CAR,22.26,18,17,18,17
Net Profit Margin,25.94,22.08,20.32,20.68,19.27
Return on Assets,1.81,1.65,1.55,1.54,1.58
Net Interest Margin,4,3.74,3.6,3.59,3.78
