Ratios,2023,2022,2021,2020,2019
EPS,79.25,66.8,56.58,48.01,78.65
CASA,44.38,48.16,46.11,42.23,42.37
LTD,86.25,86.43,85.66,87.56,86.32
CAR,19.26,18.9,18.79,18.52,17.11
Net Profit Margin,27.29,28.93,25.74,22.86,21.29
Return on Assets,1.78,1.78,1.78,1.71,1.69
Net Interest Margin,3.52,3.48,3.71,3.67,3.87
Gross NPA,1.12,1,1,1,1
