Ratios,2023,2022,2021,2020,2019
EPS,31.17,42.48,22.15,5.99,18.2
CASA,47.15,44.99,44.92,41.19,44.37
LTD,87.81,87.08,88.7,89.71,93.25
CAR,17.64,18.54,19.12,17.53,15.84
Net Profit Margin,11.24,19.33,10.35,2.59,8.5
Return on Assets,0.72,1.1,0.66,0.17,0.58
Net Interest Margin,3.26,2.81,2.93,2.75,2.71
Gross NPA,2,3,4,5,5
