Ratios,2021,2020,2019,2018,2017
EPS,22.87,16.23,0.97,-7.67,13.43
CASA,45.39,44.22,0,44.48,44.57
P/E,14.51,8.89,124.32,-46.8,946.45
CAR,13.74,13.13,13,13,13
Net Profit Margin,7.69,5.63,0.35,-2.96,5.97
Return on Assets,0.45,0.36,0.02,-0.18,0.38
Net Interest Margin,2.44,2.48,2.4,2.16,2.28
